product_sku,version,step_no,step_name,temperature_c,target_ph,viscosity_cp,mix_time_min,rpm,notes
HH-038,v1.0,1,Water Charging,25,7,,,10,60,Charge demineralised water into clean SS vessel
HH-038,v1.0,2,IPA Addition,25,,,,100,Add isopropyl alcohol slowly; ensure ventilation; flammable
HH-038,v1.0,3,Non-ionic Surfactant Addition,25,,,,100,Add surfactant to prevent streaking; mix to clear solution
HH-038,v1.0,4,QC & Transfer,25,7.0,,,5,60,Verify clarity and pH 6.5–7.5; transfer to filling at low shear
HH-039,v1.0,1,Water Charging,25,7,,,10,60,Charge demineralised water
HH-039,v1.0,2,IPA Addition,25,,,,100,Add IPA slowly under ventilation
HH-039,v1.0,3,Non-ionic Surfactant Addition,25,,,,100,Add surfactant; mix to clear solution
HH-039,v1.0,4,QC & Transfer,25,7.0,,,5,60,Verify clarity and pH; transfer to filling
HH-040,v1.0,1,Water Charging,25,7,,,10,80,Charge demineralised water
HH-040,v1.0,2,Surfactant & Disinfectant Addition,25,7.0,,,15,150,Add SLES/APG and quaternary ammonium compound; mix to clear
HH-040,v1.0,3,Fragrance & Builder Addition,25,,,,100,Incorporate fragrance oil and sodium gluconate
HH-040,v1.0,4,pH Adjustment & QC,25,7.0,,,5,80,Adjust pH to 6.8–7.5; neutral for all floor types
HH-041,v1.0,1,Water Charging,25,7,,,10,80,Charge demineralised water
HH-041,v1.0,2,Surfactant & Disinfectant Addition,25,7.0,,,15,150,Add SLES/APG and QUAT compound; mix to clear
HH-041,v1.0,3,Fragrance Addition,25,,,,100,Incorporate fragrance oil
HH-041,v1.0,4,pH Adjustment & QC,25,7.0,,,5,80,Adjust pH to 6.8–7.5; neutral for all floor types
HH-042,v1.0,1,Water Charging,25,,,10,80,Charge demineralised water
HH-042,v1.0,2,HEC Thickener Dispersion,25,,8000,20,200,Disperse hydroxyethyl cellulose slowly; avoid dry lumps
HH-042,v1.0,3,Acid & Active Addition,25,1.5,,,10,100,Add HCl or citric acid; incorporate QUAT actives
HH-042,v1.0,4,Fragrance & Colour,25,1.8,8000,8,60,Add acid-stable fragrance and colour; verify gel viscosity
HH-043,v1.0,1,Water Charging,25,,,10,80,Charge demineralised water
HH-043,v1.0,2,HEC Thickener Dispersion,25,,8000,20,200,Disperse HEC slowly to avoid lumps
HH-043,v1.0,3,Acid & Active Addition,25,1.5,,,10,100,Add acid actives; incorporate QUAT
HH-043,v1.0,4,Fragrance & Colour,25,1.8,8000,8,60,Add acid-stable fragrance and colour; verify viscosity
HH-044,v1.0,1,Water Phase Preparation,25,,,10,80,Charge demineralised water and dissolve preservative
HH-044,v1.0,2,Calcium Carbonate Addition,25,,,15,150,Add CaCO3 powder slowly with high-shear mixing to prevent settling
HH-044,v1.0,3,Surfactant Incorporation,25,,,,120,Add SLES and non-ionic surfactant; mix until uniform
HH-044,v1.0,4,Fragrance & pH Adjustment,25,9.0,,,10,100,Add fragrance; adjust pH to 8.5–9.5
HH-044,v1.0,5,Viscosity Check & Transfer,25,9.0,15000,5,60,Verify viscosity 12000–18000 cP; transfer to filling
HH-045,v1.0,1,Water Charging,25,7,,,10,80,Charge demineralised water
HH-045,v1.0,2,SLES & CAPB Addition,25,,,,200,Add surfactants; mix to clear
HH-045,v1.0,3,Enzyme Dosing,30,,,,100,Add protease and amylase enzymes at ≤30 °C to preserve activity
HH-045,v1.0,4,pH Adjustment,30,7.5,,,5,80,Buffer pH to 7.0–8.0 for enzyme activity
HH-045,v1.0,5,Fragrance & Preservative,30,7.5,,8,60,Add fragrance and enzyme-compatible preservative
HH-046,v1.0,1,Water Charging,25,7,,,10,80,Charge demineralised water
HH-046,v1.0,2,SLES & CAPB Addition,25,,,,200,Add surfactants; mix to clear
HH-046,v1.0,3,Enzyme Dosing,30,,,,100,Add protease and amylase at ≤30 °C
HH-046,v1.0,4,pH Adjustment,30,7.5,,,5,80,Buffer pH to 7.0–8.0 for enzyme activity
HH-046,v1.0,5,Fragrance & Preservative,30,7.5,,8,60,Add fragrance and enzyme-compatible preservative
HH-047,v1.0,1,Water Charging,25,7,,,10,80,Charge demineralised water
HH-047,v1.0,2,QUAT Active Addition,25,,,,150,Add benzalkonium chloride solution; mix to homogeneity
HH-047,v1.0,3,pH Adjustment,25,7.0,,,5,100,Adjust pH to 6.5–7.5 for optimal QUAT efficacy
HH-047,v1.0,4,Fragrance & QC,25,7.0,,8,80,Add fragrance; verify QUAT level by titration; check clarity
HH-048,v1.0,1,Water Charging,25,,,10,80,Charge demineralised water
HH-048,v1.0,2,Acid Addition,25,2.0,,,10,150,Add citric acid and surfactant-grade HCl; use PPE
HH-048,v1.0,3,Surfactant Addition,25,,,,100,Add non-ionic surfactant and wetting agent
HH-048,v1.0,4,Fragrance & QC,25,2.0,,,5,80,Add acid-stable fragrance; verify pH 1.5–2.5
HH-049,v1.0,1,Water Charging,25,,,10,80,Charge demineralised water
HH-049,v1.0,2,Acid Addition,25,2.0,,,10,150,Add citric acid; use PPE; acid-resistant vessel required
HH-049,v1.0,3,Surfactant Addition,25,,,,100,Add non-ionic surfactant
HH-049,v1.0,4,Fragrance & QC,25,2.0,,,5,80,Add acid-stable fragrance; verify pH
HH-050,v1.0,1,Fragrance Concentrate Premix,25,,,5,60,Weigh fragrance oils and solubiliser into clean premix tank
HH-050,v1.0,2,Solubiliser Addition,25,,,10,100,Add PEG-40 hydrogenated castor oil; mix to clear solution
HH-050,v1.0,3,Water Addition,25,,,15,80,Slowly add demineralised water; maintain clarity
HH-050,v1.0,4,QC & Transfer,25,7.0,,,5,60,Verify clarity, pH and fragrance intensity; transfer to filling
HH-051,v1.0,1,Water Charging,25,7,,,10,80,Charge demineralised water
HH-051,v1.0,2,SLES Addition,25,,,,200,Add SLES 70% slowly with agitation
HH-051,v1.0,3,CAPB & Gloss Additive,25,,,,150,Add CAPB and carnauba wax emulsion for shine effect
HH-051,v1.0,4,pH Adjustment & QC,25,5.5,,,5,80,Adjust pH to 5.0–6.0; verify foam and gloss performance
HH-052,v1.0,1,Water Charging,25,7,,,10,80,Charge demineralised water
HH-052,v1.0,2,SLES Addition,25,,,,200,Add SLES 70% slowly
HH-052,v1.0,3,CAPB & Gloss Additive,25,,,,150,Add CAPB and carnauba wax emulsion
HH-052,v1.0,4,pH Adjustment & QC,25,5.5,,,5,80,Adjust pH to 5.0–6.0; verify foam and gloss
HH-053,v1.0,1,Water Charging,25,,,10,80,Charge demineralised water
HH-053,v1.0,2,IPA & Surfactant Addition,25,,,,150,Add IPA and non-ionic surfactant; ensure ventilation
HH-053,v1.0,3,pH Adjustment,25,7.5,,,5,100,Adjust pH to 7.0–8.0 with citric acid or NaOH
HH-053,v1.0,4,Fragrance & QC,25,7.5,,,8,80,Add mild fragrance; verify clarity and pH
HH-054,v1.0,1,Water Charging,25,,,10,80,Charge demineralised water
HH-054,v1.0,2,BZK/QUAT Active Addition,25,,,,150,Add benzalkonium chloride at specified concentration; mix well
HH-054,v1.0,3,pH Adjustment & QC,25,7.0,,,5,80,Adjust pH to 6.5–7.5; verify active concentration by titration
HH-055,v1.0,1,Water Charging,25,,,10,80,Charge demineralised water into large-format vessel
HH-055,v1.0,2,BZK/QUAT Active Addition,25,,,,150,Add BZK concentrate; mix to homogeneity
HH-055,v1.0,3,pH Adjustment & QC,25,7.0,,,5,80,Adjust pH to 6.5–7.5; QC sample before drum filling
HH-056,v1.0,1,Water Charging,25,,,10,80,Charge demineralised water
HH-056,v1.0,2,BZK Active Addition,25,,,,150,Add BZK at alcohol-free hand rub concentration; mix well
HH-056,v1.0,3,Glycerin & Humectant Addition,25,,,,100,Incorporate glycerin and skin conditioner
HH-056,v1.0,4,pH Adjustment & QC,25,5.5,,,5,80,Adjust pH to 5.0–6.0; check skin feel and active level
HH-057,v1.0,1,Water Charging,25,,,10,80,Charge demineralised water into drum-scale vessel
HH-057,v1.0,2,BZK Active Addition,25,,,,150,Add BZK at hand rub concentration
HH-057,v1.0,3,Glycerin & Humectant Addition,25,,,,100,Incorporate glycerin
HH-057,v1.0,4,pH Adjustment & QC,25,5.5,,,5,80,Adjust pH 5.0–6.0; QC before drum filling
HH-058,v1.0,1,Water Charging,25,,,10,80,Charge demineralised water
HH-058,v1.0,2,QUAT Active Addition,25,,,,150,Add quaternary ammonium laundry sanitizer active; mix to clear
HH-058,v1.0,3,Fragrance Addition,25,,,,100,Incorporate fragrance oil compatible with wash conditions
HH-058,v1.0,4,pH Adjustment & QC,25,5.5,,,5,80,Adjust pH to 5.0–6.0; check QUAT level and fragrance intensity
HH-059,v1.0,1,Water Charging,25,,,10,80,Charge demineralised water into large vessel
HH-059,v1.0,2,QUAT Active Addition,25,,,,150,Add QUAT laundry sanitizer active; mix to homogeneity
HH-059,v1.0,3,Fragrance Addition,25,,,,100,Incorporate fragrance oil
HH-059,v1.0,4,pH Adjustment & QC,25,5.5,,,5,80,Adjust pH; QC sample before drum filling
HH-060,v1.0,1,QUAT Impregnation Solution Prep,25,7.0,,,15,150,Prepare BZK/QUAT solution in demineralised water; check active level
HH-060,v1.0,2,Spunlace Substrate Impregnation,25,,,5,30,Feed substrate roll through impregnation bath at controlled saturation ratio
HH-060,v1.0,3,Folding & Stacking,25,,,,,Machine-set fold pattern; stack 64 wipes per pack
HH-060,v1.0,4,Packaging & Sealing,25,,,,, Heat-seal pack; verify seal integrity; label and date-code
HH-061,v1.0,1,QUAT Impregnation Solution Prep,25,7.0,,,15,150,Prepare BZK/QUAT solution; check active level
HH-061,v1.0,2,Spunlace Substrate Impregnation,25,,,5,30,Feed substrate through impregnation bath; 100-wipe saturation ratio
HH-061,v1.0,3,Folding & Stacking,25,,,,,Stack 100 wipes per pack
HH-061,v1.0,4,Packaging & Sealing,25,,,,, Heat-seal and label; date code
HH-062,v1.0,1,Water Charging,20,,,10,60,Charge cold demineralised water into industrial vessel
HH-062,v1.0,2,High-Strength NaOCl Addition,20,,,10,80,Pump industrial-grade NaOCl at controlled rate; splash guard required
HH-062,v1.0,3,pH Adjustment & QC,20,12.5,,,5,50,Verify pH 12.0–12.8 and available chlorine 12% by titration
HH-063,v1.0,1,Water Phase Heating,60,,,20,100,Heat demineralised water to 60 °C in industrial vessel
HH-063,v1.0,2,Industrial Cationic Softener Addition,55,,,20,200,Add industrial-grade ester quat with vigorous agitation
HH-063,v1.0,3,Cooling & Emulsification,35,,,15,150,Cool to 35 °C; observe viscosity build
HH-063,v1.0,4,pH Adjustment & QC,30,3.5,800,5,60,Adjust pH 3.5–4.5; QC sample before drum filling
HH-064,v1.0,1,Water Charging,25,7,,,50,Charge demineralised water
HH-064,v1.0,2,SLES Addition & Dispersion,25,,,,200,Add SLES 70% paste; industrial quantity – controlled feed rate
